800 800
1 24 0.290100
11 715 0.626500
16 739 0.659500
22 267 0.067700
26 355 0.355400
28 161 0.334700
38 203 0.177500
44 153 0.008000
67 335 0.010400
90 101 0.597500
93 258 0.084600
108 495 0.315700
109 710 0.968600
123 513 0.873600
128 356 0.912800
142 640 0.169900
176 108 0.316800
210 405 0.241800
221 484 0.491000
227 166 0.543900
231 757 0.405500
240 622 0.742400
247 255 0.643700
262 2 0.659300
267 720 0.149200
298 322 0.746600
320 249 0.641400
325 488 0.298200
333 629 0.375800
335 155 0.988600
339 168 0.344600
361 479 0.343400
370 301 0.613700
372 708 0.618400
376 765 0.013400
388 689 0.574400
416 532 0.777700
418 322 0.949900
426 369 0.703000
441 509 0.116200
457 87 0.246600
484 755 0.418900
499 4 0.632000
508 409 0.095500
537 233 0.390300
562 551 0.322000
586 518 0.971300
586 685 0.969200
592 394 0.743400
611 535 0.517700
613 308 0.164500
614 753 0.949400
642 744 0.921800
652 324 0.882600
660 476 0.051000
682 476 0.774900
720 482 0.105900
734 484 0.905400
755 58 0.587900
760 514 0.988100
765 384 0.428700
770 729 0.629800
782 735 0.776300
796 55 0.259800
