800 800
21 616 -0.407600
33 300 0.351400
67 364 -0.064300
77 663 1.090900
79 277 1.134200
85 729 1.546500
90 411 -2.296800
99 363 1.241000
102 410 -1.266500
105 421 -0.853100
113 136 -0.334000
123 486 1.462600
144 342 -0.773000
144 541 -0.485300
148 760 1.019400
172 691 -2.339400
198 336 -0.379500
212 142 -0.385100
228 186 -0.441700
233 513 -1.066400
239 128 -1.475400
266 669 0.525300
273 136 -0.786900
275 361 0.253000
281 792 -0.535800
290 479 -2.505500
317 310 -0.542700
319 131 0.645800
339 114 -0.212700
366 193 -0.782100
378 720 1.679600
387 621 0.782800
405 523 0.104900
410 726 1.401100
415 465 0.560100
417 181 2.219900
417 528 -0.175700
424 583 -0.887400
436 346 -0.051700
438 114 0.781700
467 484 0.035200
490 407 -0.512400
493 597 0.218600
511 302 0.570700
516 199 1.766800
528 453 0.343800
536 313 -0.175800
548 567 1.035000
549 711 1.110800
569 31 -0.273700
592 93 -0.161800
597 191 -1.167600
620 59 2.386600
630 11 -0.295300
631 30 -0.456800
644 123 -0.762100
660 431 0.425700
661 177 -0.582700
687 724 -0.943500
718 215 -0.411600
745 537 0.264900
756 98 -1.867100
785 124 -0.441100
799 255 0.547400
