800 800
1 24 0.290100
11 715 0.626500
16 739 0.659500
21 616 -0.407600
22 267 0.067700
26 355 0.355400
28 161 0.334700
33 300 0.351400
38 203 0.177500
44 153 0.008000
67 335 0.010400
67 364 -0.064300
77 663 1.090900
79 277 1.134200
85 729 1.546500
90 101 0.597500
90 411 -2.296800
93 258 0.084600
99 363 1.241000
102 410 -1.266500
105 421 -0.853100
108 495 0.315700
109 710 0.968600
113 136 -0.334000
123 486 1.462600
123 513 0.873600
128 356 0.912800
142 640 0.169900
144 342 -0.773000
144 541 -0.485300
148 760 1.019400
172 691 -2.339400
176 108 0.316800
198 336 -0.379500
210 405 0.241800
212 142 -0.385100
221 484 0.491000
227 166 0.543900
228 186 -0.441700
231 757 0.405500
233 513 -1.066400
239 128 -1.475400
240 622 0.742400
247 255 0.643700
262 2 0.659300
266 669 0.525300
267 720 0.149200
273 136 -0.786900
275 361 0.253000
281 792 -0.535800
290 479 -2.505500
298 322 0.746600
317 310 -0.542700
319 131 0.645800
320 249 0.641400
325 488 0.298200
333 629 0.375800
335 155 0.988600
339 114 -0.212700
339 168 0.344600
361 479 0.343400
366 193 -0.782100
370 301 0.613700
372 708 0.618400
376 765 0.013400
378 720 1.679600
387 621 0.782800
388 689 0.574400
405 523 0.104900
410 726 1.401100
415 465 0.560100
416 532 0.777700
417 181 2.219900
417 528 -0.175700
418 322 0.949900
424 583 -0.887400
426 369 0.703000
436 346 -0.051700
438 114 0.781700
441 509 0.116200
457 87 0.246600
467 484 0.035200
484 755 0.418900
490 407 -0.512400
493 597 0.218600
499 4 0.632000
508 409 0.095500
511 302 0.570700
516 199 1.766800
528 453 0.343800
536 313 -0.175800
537 233 0.390300
548 567 1.035000
549 711 1.110800
562 551 0.322000
569 31 -0.273700
586 518 0.971300
586 685 0.969200
592 93 -0.161800
592 394 0.743400
597 191 -1.167600
611 535 0.517700
613 308 0.164500
614 753 0.949400
620 59 2.386600
630 11 -0.295300
631 30 -0.456800
642 744 0.921800
644 123 -0.762100
652 324 0.882600
660 431 0.425700
660 476 0.051000
661 177 -0.582700
682 476 0.774900
687 724 -0.943500
718 215 -0.411600
720 482 0.105900
734 484 0.905400
745 537 0.264900
755 58 0.587900
756 98 -1.867100
760 514 0.988100
765 384 0.428700
770 729 0.629800
782 735 0.776300
785 124 -0.441100
796 55 0.259800
799 255 0.547400
